time,delk1,delk2,delwb,emdx,k2vk3,k3,milliseconds,viored
1983-05-03,0.658211,0.384448,1.59952,0.0909642,1.58131,0.0630028,420768000000,1.23989
1983-05-05,0.614899,0.407847,1.59115,0.088904,1.53469,0.0637966,420940800000,1.21853
1983-05-06,0.597438,0.368447,1.56631,0.0917786,1.55751,0.0651762,421027200000,1.25677
1983-05-07,0.64343,0.393042,1.59694,0.0873446,1.58216,0.061183,421113600000,1.29226
1983-05-09,0.619409,0.393535,1.58697,0.0896273,1.55955,0.0631703,421286400000,1.22731
1983-05-11,0.621316,0.388574,1.58565,0.0872747,1.53824,0.0631661,421459200000,1.25542
1983-05-12,0.629228,0.457532,1.61751,0.0906623,1.45746,0.0682502,421545600000,1.29276
1983-05-13,0.62753,0.395459,1.59125,0.0877663,1.53749,0.0630183,421632000000,1.2743
1983-05-15,0.673895,0.388996,1.60787,0.0931195,1.6625,0.0631678,421804800000,1.16722
1983-05-18,0.610556,0.355829,1.56653,0.0904868,1.58407,0.0649907,422064000000,1.236
1983-05-23,0.676871,0.347566,1.59187,0.0946295,1.65267,0.0665569,422496000000,1.26853
1983-06-08,0.669159,0.374955,1.60013,0.0903739,1.56575,0.0652904,423878400000,1.19763
1983-06-18,0.665792,0.349247,1.58786,0.093549,1.59343,0.0668245,424742400000,1.24481
1983-06-25,0.632684,0.370873,1.58292,0.0941813,1.5702,0.0688175,425347200000,1.24609
1983-06-30,0.626486,0.364586,1.57749,0.0919861,1.59182,0.0658397,425779200000,1.23702
1983-07-04,0.595818,0.375602,1.56879,0.0923577,1.6116,0.0653935,426124800000,1.25524
1983-07-15,0.646893,0.353911,1.58173,0.0916328,1.65056,0.063032,427075200000,1.19837
1983-07-16,0.611807,0.365045,1.57121,0.0917652,1.60877,0.0640364,427161600000,1.16479
1983-08-31,0.661655,0.363538,1.59219,0.0915977,1.56856,0.0650971,431136000000,1.19603
1983-09-02,0.618219,0.385344,1.58293,0.0916002,1.67286,0.0613908,431308800000,1.22484
1983-09-19,0.639173,0.358046,1.58017,0.0910089,1.5685,0.0632272,432777600000,1.19282
1983-09-25,0.60638,0.360362,1.56669,0.0907786,1.56507,0.0653476,433296000000,1.2781
1983-10-21,0.66208,0.375649,1.59746,0.0906446,1.5647,0.065055,435542400000,1.21971
1983-10-24,0.601151,0.365587,1.56669,0.0909694,1.57621,0.0651714,435801600000,1.3439
1983-12-16,0.603265,0.373167,1.57102,0.0901541,1.60087,0.0634796,440380800000,1.2671
1984-01-04,0.611025,0.362348,1.56966,0.0922855,1.54022,0.0665691,442022400000,1.25005
1984-01-06,0.632284,0.364135,1.57982,0.0916242,1.53414,0.0665632,442195200000,1.27378
1984-01-07,0.604739,0.369305,1.56996,0.0919505,1.56231,0.0656505,442281600000,1.28774
1984-01-10,0.583761,0.365074,1.55857,0.0918091,1.56272,0.0657908,442540800000,1.2745
1984-01-11,0.621725,0.346098,1.56718,0.0914924,1.57777,0.0658322,442627200000,1.30274
1984-01-12,0.639468,0.364858,1.58326,0.0919748,1.55332,0.0660955,442713600000,1.30297
1984-01-15,0.581424,0.364981,1.55746,0.0905975,1.5831,0.0640502,442972800000,1.26332
1984-01-16,0.590835,0.367761,1.56302,0.0908291,1.58899,0.0638481,443059200000,1.23779
1984-01-18,0.619475,0.375488,1.57919,0.0901352,1.59301,0.0635718,443232000000,1.30087
